set,number,pokemonName,abilityName,abilityType,effect_type,param1,param2,text
A3,066,Oricorio,Safeguard,passive,prevent_damage_from_ex,,,Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon ex.
A3,080,Comfey,Flower Shield,passive,cure_and_prevent_status_with_energy,psychic,,Each of your Pokémon that has any {P} Energy attached recovers from all Special Conditions and can't be affected by any Special Conditions.
A3,087,Lunala ex,Psychic Connect,active,move_all_energy_type,psychic,,"Once during your turn, you may move all {P} Energy from 1 of your Benched {P} Pokémon to your Active Pokémon."
A3,096,Conkeldurr,Guts,passive,flip_avoid_knockout,,,"If this Pokémon would be Knocked Out by damage from an attack, flip a coin. If heads, this Pokémon is not Knocked Out, and its remaining HP becomes 10."
A3,104,Passimian ex,Offload Pass,passive,move_energy_on_knockout,fighting,,"If this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent's Pokémon, move all {F} Energy from this Pokémon to 1 of your Benched Pokémon."
A3,109,Alolan Persian,Fur Coat,passive,reduce_incoming_damage,20,,This Pokémon takes −20 damage from attacks.
A3,122,Solgaleo ex,Rising Road,active,switch_from_bench,,,"Once during your turn, if this Pokémon is on your Bench, you may switch it with your Active Pokémon."
A3,141,Komala,Comatose,passive,inflict_status_on_energy_attach,asleep,,"As long as this Pokémon is in the Active Spot, whenever you attach an Energy from your Energy Zone to it, it is now Asleep."
A3,163,Pyukumuku,Innards Out,passive,counter_on_knockout,50,,"If this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent's Pokémon, do 50 damage to the Attacking Pokémon."
A3,165,Oricorio,Safeguard,passive,prevent_damage_from_ex,,,Prevent all damage done to this Pokémon by attacks from your opponent's Pokémon ex.
A3,168,Comfey,Flower Shield,passive,cure_and_prevent_status_with_energy,psychic,,Each of your Pokémon that has any {P} Energy attached recovers from all Special Conditions and can't be affected by any Special Conditions.
A3,179,Komala,Comatose,passive,inflict_status_on_energy_attach,asleep,,"As long as this Pokémon is in the Active Spot, whenever you attach an Energy from your Energy Zone to it, it is now Asleep."
A3,186,Lunala ex,Psychic Connect,active,move_all_energy_type,psychic,,"Once during your turn, you may move all {P} Energy from 1 of your Benched {P} Pokémon to your Active Pokémon."
A3,187,Passimian ex,Offload Pass,passive,move_energy_on_knockout,fighting,,"If this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent's Pokémon, move all {F} Energy from this Pokémon to 1 of your Benched Pokémon."
A3,189,Solgaleo ex,Rising Road,active,switch_from_bench,,,"Once during your turn, if this Pokémon is on your Bench, you may switch it with your Active Pokémon."
A3,204,Lunala ex,Psychic Connect,active,move_all_energy_type,psychic,,"Once during your turn, you may move all {P} Energy from 1 of your Benched {P} Pokémon to your Active Pokémon."
A3,205,Passimian ex,Offload Pass,passive,move_energy_on_knockout,fighting,,"If this Pokémon is in the Active Spot and is Knocked Out by damage from an attack from your opponent's Pokémon, move all {F} Energy from this Pokémon to 1 of your Benched Pokémon."
A3,207,Solgaleo ex,Rising Road,active,switch_from_bench,,,"Once during your turn, if this Pokémon is on your Bench, you may switch it with your Active Pokémon."
A3,229,Wigglytuff,Comforting Song,active,heal_active,20,,"Once during your turn, you may heal 20 damage from your Active Pokémon."
A3,234,Gengar ex,Shadowy Spellbind,passive,block_supporters,,,"As long as this Pokémon is in the Active Spot, your opponent can't use any Supporter cards from their hand."
A3,238,Lunala ex,Psychic Connect,active,move_all_energy_type,psychic,,"Once during your turn, you may move all {P} Energy from 1 of your Benched {P} Pokémon to your Active Pokémon."
A3,239,Solgaleo ex,Rising Road,active,switch_from_bench,,,"Once during your turn, if this Pokémon is on your Bench, you may switch it with your Active Pokémon."
A3a,015,Luxray,Intimidating Fang,passive,reduce_opponent_damage,20,,As long as this Pokémon is in the Active Spot attacks used by your opponent's Active Pokémon do −20 damage.
A3a,021,Zeraora,Thunderclap Flash,passive,attach_energy_end_of_first_turn,lightning,,At the end of your first turn take a {L} Energy from your Energy Zone and attach it to this Pokémon.
A3a,027,Shiinotic,Illuminate,active,search_pokemon_random,,,Once during your turn you may put a random Pokémon from your deck into your hand.
A3a,031,Claydol,Heal Block,passive,prevent_all_healing,,,Pokémon (both yours and your opponent's) can't be healed.
A3a,042,Nihilego,More Poison,passive,increase_poison_damage,10,,Your opponent's Active Pokémon takes +10 damage from being Poisoned.
A3a,052,Ferrothorn,Steel Spikes,passive,counter_on_hit,20,,If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon do 20 damage to the Attacking Pokémon.
A3a,056,Stoutland,Guard Dog Visage,passive,increase_opponent_cost,1,,As long as this Pokémon is in the Active Spot attacks used by your opponent's Active Pokémon cost 1 {C} more.
A3a,062,Celesteela,Ultra Thrusters,active,switch_ultra_beast,,,Once during your turn you may switch your Active Ultra Beast with 1 of your Benched Ultra Beasts.
A3a,075,Celesteela,Ultra Thrusters,active,switch_ultra_beast,,,Once during your turn you may switch your Active Ultra Beast with 1 of your Benched Ultra Beasts.
A3a,093,Greninja,Water Shuriken,active,deal_damage_any,20,,Once during your turn you may do 20 damage to 1 of your opponent's Pokémon.
A3a,097,Pidgeot,Drive Off,active,force_opponent_switch,,,Once during your turn you may switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
A3a,101,Aerodactyl ex,Primeval Law,passive,block_evolution,opponent,,Your opponent can't play any Pokémon from their hand to evolve their Active Pokémon.
A3a,103,Nihilego,More Poison,passive,increase_poison_damage,10,,Your opponent's Active Pokémon takes +10 damage from being Poisoned.
A3b,009,Flareon ex,Combust,active,attach_from_discard_self_damage,fire,20,Once during your turn you may attach a {R} Energy from your discard pile to this Pokémon. If you do do 20 damage to this Pokémon.
A3b,034,Sylveon ex,Happy Ribbon,passive,draw_on_evolution,2,,Once during your turn when you play this Pokémon from your hand to evolve 1 of your Pokémon you may draw 2 cards.
A3b,056,Eevee ex,Veevee 'volve,passive,eevee_evolution_rule,,,This Pokémon can evolve into any Pokémon that evolves from Eevee if you play it from your hand onto this Pokémon. (This Pokémon can't evolve during your first turn or the turn you play it.)
A3b,057,Snorlax ex,Full-Mouth Manner,passive,heal_active_end_of_turn,20,,At the end of your turn if this Pokémon is in the Active Spot heal 20 damage from it.
A3b,059,Ambipom,Catching Tail,active,search_tool_random,,,Once during your turn you may put a random Pokémon Tool card from your deck into your hand.
A3b,079,Flareon ex,Combust,active,attach_from_discard_self_damage,fire,20,Once during your turn you may attach a {R} Energy from your discard pile to this Pokémon. If you do do 20 damage to this Pokémon.
A3b,081,Sylveon ex,Happy Ribbon,passive,draw_on_evolution,2,,Once during your turn when you play this Pokémon from your hand to evolve 1 of your Pokémon you may draw 2 cards.
A3b,083,Eevee ex,Veevee 'volve,passive,eevee_evolution_rule,,,This Pokémon can evolve into any Pokémon that evolves from Eevee if you play it from your hand onto this Pokémon. (This Pokémon can't evolve during your first turn or the turn you play it.)
A3b,084,Snorlax ex,Full-Mouth Manner,passive,heal_active_end_of_turn,20,,At the end of your turn if this Pokémon is in the Active Spot heal 20 damage from it.
A3b,087,Flareon ex,Combust,active,attach_from_discard_self_damage,fire,20,Once during your turn you may attach a {R} Energy from your discard pile to this Pokémon. If you do do 20 damage to this Pokémon.
A3b,089,Sylveon ex,Happy Ribbon,passive,draw_on_evolution,2,,Once during your turn when you play this Pokémon from your hand to evolve 1 of your Pokémon you may draw 2 cards.
A3b,091,Snorlax ex,Full-Mouth Manner,passive,heal_active_end_of_turn,20,,At the end of your turn if this Pokémon is in the Active Spot heal 20 damage from it.
A3b,092,Eevee ex,Veevee 'volve,passive,eevee_evolution_rule,,,This Pokémon can evolve into any Pokémon that evolves from Eevee if you play it from your hand onto this Pokémon. (This Pokémon can't evolve during your first turn or the turn you play it.)
A3b,099,Gardevoir,Psy Shadow,active,attach_energy_from_zone_to_active,psychic,1,Once during your turn you may take a {P} Energy from your Energy Zone and attach it to the {P} Pokémon in the Active Spot.
